English,Russian
Nikolas,Николас
Demario,Демарио
Johnpaul,Джонпол
Nicklaus,Никлаус
Jarret,Джаррет
Kody,Коди
Antwain,Антуан
Dequan,ДеКуон
Lukas,Лукас
Christina,Кристина
Deshaun,Дешон
Juston,Джастон
Hasan,Хасан
Jeb,Джеб
Amanda,Аманда
Andrae,Андре
Kendell,Кенделл
Tucker,Такер
Keon,Кеон
Garett,Гарретт
Amit,Амит
Omari,Омари
Tyrell,Тайрелл
Mohammad,Мухаммед
Bryson,Брайсон
Tyrel,Тайрелл
Tremaine,Тремейн
Jarrad,Джаред
Rustin,Растин
Kai,Кай
Justen,Джастен
Keegan,Киган
Chaz,Чаз
Yoel,Йоэль
Jarad,Джаред
Jessy,Джесси
Bjorn,Бьорн
Brandan,Брендан
Dustan,Дастан
Isaias,Исайяс
Kellen,Келлен
Skyler,Скайлер
Marchello,Марчелло
Mohammed,Мухаммед
Johathan,Джонатан
Adalberto,Адальберто
Connor,Коннор
Dontae,Донте
Taurean,Торин
Skylar,Скайлар
Mohamed,Мухаммед
Colt,Кольт
Kiel,Кил
Colton,Колтон
Eliezer,Элиэзер
Darrius,Дариус
Tuan,Туан
Hung,Ханг
Long,Лонг
Lamarcus,ЛаМаркус
Justine,Жюстин
Huy,Хуй
Akeem,Аким
Cassidy,Кэссиди
Devan,Девон
Martell,Мартелл
Remington,Ремингтон
Jacoby,Джейкоби
Jakob,Якоб
Trumaine,Трумейн
Marquise,Маркиз
Deven,Девен
Crystal,Кристал
Ryne,Райн
Coty,Коти
Grayson,Грейсон
Jerrad,Джаред
Jarrell,Джарелл
Baby,Бэби
Brandin,Брендин
Alonso,Алонсо
Danielle,Даниэль
Tavon,Тавон
Travon,Трефон
Deonte,Деонте
Rachel,Рэйчел
Kameron,Кэмерон
Tavaris,Таварис
Tylor,Тайлор
Jairo,Хайро
Durell,Дюрелл
Durrell,Даррелл
Channing,Чаннинг
Jaymes,Джеймс
Dakota,Дакота
Keaton,Китон
Ulises,Улисес
Brandyn,Брендин
Mackenzie,Маккензи
Maximilian,Максимилиан
Uriel,Уриэль
Terell,Терелл
Kale,Кейл
Dandre,Дэндре
Kolby,Колби
Joshuah,Джошуа
Martez,Мартез
Rayshawn,Рэйшон
Dangelo,Дэнджело
Derrek,Дерек
Cordero,Кордеро
Jayce,Джейс
Yaakov,Яаков
Kyler,Кайлер
Alexandro,Алехандро
Zechariah,Захария
Giancarlo,Джанкарло
Garrison,Гаррисон
Spenser,Спенсер
Austen,Остин
Payton,Пейтон
Kalen,Кейлен
Kane,Кейн
Mychal,Майкал
Conner,Коннор
Cordaro,Кордаро
Dashawn,Дашон
Holden,Холден
Octavius,Октавиус
Rashaad,Рашад
Montrell,Монтрелл
Jaren,Джарен
Joseluis,Хоселуис
Trevin,Тревин
Brennen,Бреннен
Kegan,Киган
Camron,Кэмерон
Colten,Колтен
Codey,Коди
Arsenio,Арсенио
Jaquan,Джакуан
Geraldo,Джеральдо
Kelby,Келби
Jamarcus,Джамаркус
Marquez,Маркес
Dominque,Доминик
Brittany,Бриттани
Ridge,Ридж
Mikhail,Михаил
Brantley,Брантли
Nico,Нико
Kade,Кейд
Alexandre,Александр
Christop,Кристоф
Infant,Младенец
Alexande,Александр
Hakeem,Хаким
Kadeem,Кадим
Gage,Гейдж
Khiry,Кири
Jasmine,Жасмин
Daquan,ДеКуон
Niko,Нико
Rakeem,Раким
Nikko,Никко
Dionte,Дионте
Samantha,Саманта
Darion,Дарион
Kendal,Кендалл
Kiara,Киара
Tiffany,Тиффани
Khalil,Халиль
Najee,Наджи
Ladarius,ЛаДариус
Stetson,Стетсон
Yosef,Йосеф
Trevon,Трефон
Dimitri,Дмитрий
Tevin,Тевин
Denzel,Дензел
Male,Мейл
Laquan,ЛаКуон
Kiefer,Кифер
Jorden,Джорден
Ibrahim,Ибрагим
Mykel,Майкел
Kevon,Кевон
Zakary,Закари
Aidan,Айдан
Talon,Тэлон
Codie,Коди
Hernan,Эрнан
Camden,Камден
Deontae,Деонте
Keenen,Кинан
Misael,Мисаэль
Devonte,Девонте
Sage,Сейдж
Dillan,Дилан
Gunnar,Гуннар
Shaquille,Шакил
Dillion,Диллион
Dylon,Дайлон
Storm,Шторм
Domonique,Доминик
Codi,Коди
Jaleel,Джалил
Davion,Дэвион
Brayden,Брейден
Denzell,Дензелл
Devante,Девайнт
Dijon,Дижон
Keifer,Кайфер
Tariq,Тарик
Babyboy,Малыш
Sawyer,Сойер
Desean,ДеШон
Deonta,Деонта
Kolton,Колтон
Justyn,Джастин
Unnamed,Безымянный
Dejon,Дежон
Bilal,Билал
Deante,Деанте
Jalen,Джален
Tre,Тре
Davonte,Девонте
Devonta,Девайнта
Javonte,Джавонте
Devontae,Девонте
Deion,Дайон
Demetri,Димитри
Davante,Даванте
Dyllan,Дилан
Trae,Трей
Dondre,Дондре
Tayler,Тейлор
Caden,Кейден
Dakotah,Дакота
Montel,Монтел
Davonta,Девайнта
Dalvin,Далвин
Tyshawn,Тайшон
Maximillian,Максимилиан
Juwan,Джуван
Tyquan,Тайкуон
Kieran,Киран
Colter,Колтер
Jaylen,Джейлен
Devyn,Девин
Savon,Сэвон
Deondre,Деондре
Darrian,Дариан
Dallin,Даллин
Jordy,Джорди
Mikal,Майкал
Adonis,Адонис
Kelton,Келтон
Shaquan,Шакуон
Devaughn,Девайн
Darrien,Дариен
Austyn,Остин
Kaden,Кейден
Darrion,Дарион
Fredy,Фреди
Montana,Монтана
Kole,Коул
Syed,Сайед
Demonte,Демонте
Dakoda,Дакота
Jaden,Джейден
Keanu,Киану
Jaylon,Джейлон
Daulton,Долтон
Shyheim,Шайхим
Markell,Маркелл
Menachem,Менахем
Markel,Маркел
Jayden,Джейден
Khari,Кари
Trayvon,Трейвон
Gunner,Ганнер
Auston,Остон
Cain,Каин
Jaylin,Джейлин
River,Ривер
Alek,Алек
Destin,Дестин
Tyrin,Тайрин
Ryder,Райдер
Armani,Армани
Kahlil,Халиль
Bryton,Брайтон
Jonatan,Джонатан
Jonatan,Джонатан
Tristen,Тристен
Triston,Тристон
Raekwon,Рэйкуон
Tristin,Тристин
Anfernee,Анферни
Draven,Дрейвен
Romello,Ромелло
Stone,Стоун
Tristian,Тристиан
Easton,Истон
Treyvon,Трейвон
Aiden,Айден
Rashaan,Рашаан
Rohan,Рохан
Killian,Киллиан
Phoenix,Феникс
Greyson,Грейсон
Latrell,ЛаТрелл
Brennon,Бреннон
Seamus,Шеймус
Isai,Исай
Branson,Брэнсон
Damarcus,Дамаркус
Mateo,Матео
Keshawn,Кешон
Keyshawn,Кишон
Trystan,Тристан
Braeden,Брейден
Brayan,Брайан
Shamar,Шамар
Keion,Кеион
Raquan,Ракуон
Jair,Джаир
Braydon,Брейдон
Shemar,Шемар
Reilly,Райли
Reagan,Рейган
Jaylan,Джейлан
Nasir,Насир
Abdullah,Абдулла
Dominik,Доминик
Keagan,Киган
Kordell,Корделл
Kobe,Коби
Gianni,Джанни
Jaret,Джарет
Koby,Коби
Nash,Нэш
Rylan,Райлан
Jaxon,Джаксон
Giovanny,Джованни
Ronaldo,Роналдо
Coleton,Коултон
Amari,Амари
Jarett,Джаретт
Keyon,Кеион
Paxton,Пакстон
Landen,Ланден
Raven,Рейвен
Jamari,Джамари
Jovani,Джовани
Jovanny,Джованни
Keandre,Кеандре
Kenan,Кенан
Jajuan,Джаджуан
Ryley,Райли
Nikhil,Нихил
Tyrese,Тайрис
Tyrek,Тайрек
Zion,Зион
Declan,Деклан
Savion,Сэвион
Kamron,Камрон
Jadon,Джейдон
Tyrique,Тайрик
Tahj,Тадж
Tyriq,Тайрик
Tyreek,Тайрик
Tyreek,Тайрик
Izaiah,Изайя
Tavian,Тавиан
Jacquez,Жакез
Alessandro,Алессандро
Kyree,Кайри
Tyrik,Тайрик
Jordi,Джорди
Jalon,Джалон
Mekhi,Мехи
Jelani,Джелани
Matteo,Маттео
Johan,Йохан
Hamza,Хамза
Brycen,Брайсен
Jovany,Джовани
Miguelangel,Мигельанхель
Jensen,Дженсен
Rahul,Рахул
Christion,Кристион
Judah,Джуда
Konnor,Коннор
Kylan,Кайлан
Jaiden,Джейден
Tyreke,Тайрик
Cayden,Кейден
Jett,Джетт
Zaire,Заир
Jaydon,Джейдон
Korbin,Корбин
Tyreese,Тайрис
Braedon,Брейдон
Jaxson,Джаксон
Xander,Ксандер
Camren,Камрен
Semaj,Джеймс
Ean,Иан
Gaven,Гэвин
Karson,Карсон
Trevion,Тревион
Ayden,Айден
Rey,Рей
Tavion,Тавион
Braiden,Брейден
Kadin,Кадин
Arman,Арман
Aditya,Адитья
Rowan,Роуэн
Bridger,Бриджер
Kayden,Кейден
Elian,Элиан
Luca,Лука
Finn,Финн
Kaiden,Кайден
Sincere,Синсир
Maximus,Максимус
Xzavier,Ксавьер
Blaze,Блейз
Gaige,Гейдж
London,Лондон
Keshaun,Кешон
Sabastian,Себастьян
Kavon,Кавон
Kian,Киан
Brodie,Броди
Jaeden,Джейден
Javion,Джавион
Jamir,Джамир
Maxim,Максим
Alexzander,Алексзандр
Kamren,Камрен
Zander,Зандер
Dayne,Дейн
Isaak,Исаак
Jaheim,Джахейм
Jagger,Джаггер
Oswaldo,Освальдо
Ronan,Ронан
Haden,Хейден
Jadyn,Джадин
Immanuel,Иммануил
Alijah,Алиджа
Jakobe,Джейкоби
Imanol,Иманоль
Jordyn,Джордин
Zain,Зейн
Yusuf,Юсуф
Gavyn,Гэвин
Pranav,Пранав
Yehuda,Йехуда
Daunte,Донте
Caiden,Кейден
Arjun,Арджун
Jahiem,Джахейм
Zavier,Ксавьер
Mustafa,Мустафа
Rylee,Райли
Giovani,Джовани
Jovanni,Джованни
Omarion,Омарион
Yahir,Яхир
Amarion,Амарион
Gael,Гаэль
Cael,Каэл
Treyton,Трейтон
Aryan,Ариан
Jaheem,Джахейм
Malakai,Малакай
Javen,Джейвен
Lisandro,Лисандро
Santino,Сантино
Adriel,Адриэль
Ethen,Итен
Luc,Люк
Maximo,Максимо
Cason,Кейсон
Gannon,Гэннон
Jaquez,Жакез
Bradyn,Брейдин
Jase,Джейс
Zayne,Зейн
Osbaldo,Осбальдо
Maddox,Мэддокс
Jamarion,Джамарион
Yair,Яир
Aydan,Айдан
Konner,Коннор
Damarion,Дамарион
Jahir,Джахир
Enzo,Энцо
Cannon,Кэннон
Kamari,Камари
Kaeden,Кейден
Ryker,Райкер
Soren,Сорен
Mordechai,Мордехай
Cristofer,Кристофер
Ryland,Райланд
Zaid,Заид
Arnav,Арнав
Canyon,Каньон
Kanye,Канье
Kyan,Кайан
Cohen,Коэн
Braylon,Брейлон
Davian,Давиан
Jaidyn,Джейдин
Demarion,Демарион
Landyn,Ландин
Luka,Лука
Braulio,Браулио
Andon,Андон
Aydin,Айдин
Matias,Матиас
Jaydin,Джейдин
Deacon,Дикон
Teagan,Тиган
Kamden,Камден
Malaki,Малаки
Koda,Кода
Rhys,Рис
Haiden,Хейден
Tayshaun,Тайшон
Jayvon,Джейвон
Trenten,Трентон
Rishi,Риши
Kason,Кейсон
Talan,Талан
Amare,Амаре
Makai,Макаи
Braylen,Брейлен
Kadyn,Кейдин
Leandro,Леандро
Aedan,Айдан
Finnegan,Финнеган
Karter,Картер
Damari,Дамари
Messiah,Мессия
Makhi,Махи
Camryn,Камрин
Gauge,Гейдж
Jax,Джакс
Adin,Адин
Krish,Криш
Yandel,Яндель
Beckett,Беккет
Kael,Каэл
Bode,Бод
Koen,Коэн
Zayden,Зейден
Santana,Сантана
Landin,Ландин
Talen,Тален
Kasen,Кейсен
Aidyn,Айдин
Jasiah,Джасиа
Memphis,Мемфис
Kingston,Кингстон
Landan,Ландан
Case,Кейс
Coen,Коэн
Izayah,Изайя
Anders,Андерс
Brogan,Броган
Madden,Мэдден
Slade,Слейд
Kellan,Келлан
Jaydan,Джейдан
Nery,Нери
Rayan,Раян
Dereon,Дереон
Yael,Яэль
Raiden,Райден
Nikolai,Николай
Yurem,Юрем
Lyric,Лирик
Kelan,Келан
Tegan,Тиган
Kamryn,Камрин
Jayvion,Джейвион
Ronin,Ронин
Daxton,Дакстон
Aaden,Айден
Chace,Чейс
Marley,Марли
Kash,Каш
Kymani,Кимани
Ishaan,Ишан
Jadiel,Джадиэль
Urijah,Урия
Eden,Эден
Zaiden,Зейден
Ayaan,Айан
Aarav,Аарав
Tripp,Трипп
Geovanni,Джовани
Yadiel,Ядиэль
Kyson,Кайсон
Callum,Каллум
Deegan,Диган
Lennon,Леннон
Abdiel,Абдиэль
Carsen,Карсен
Kolten,Колтен
Stella,Стелла
Sallie,Салли
Nettie,Нетти
Etta,Этта
Harriet,Харриет
Sadie,Сэди
Katie,Кэти
Lydia,Лидия
Kate,Кейт
Mollie,Молли
Lulu,Лулу
Nannie,Нэнни
Lottie,Лотти
Belle,Белль
Charlotte,Шарлотта
Amelia,Амелия
Hannah,Ханна
Jane,Джейн
Emily,Эмили
Matilda,Матильда
Henrietta,Генриетта
Sara,Сара
Estella,Эстелла
Theresa,Тереза
Josie,Джози
Sophia,София
Anne,Энн
Delia,Делия
Louisa,Луиза
Mayme,Мэйми
Estelle,Эстель
Nina,Нина
Bettie,Бетти
Luella,Луэлла
Inez,Инес
Lela,Лела
Rosie,Рози
Millie,Милли
Janie,Джени
Cornelia,Корнелия
Victoria,Виктория
Celia,Селия
Christine,Кристина
Birdie,Берди
Harriett,Харриетт
Mable,Мейбл
Myra,Майра
Sophie,Софи
Tillie,Тилли
Isabel,Изабель
Sylvia,Сильвия
Isabelle,Изабелла
Leila,Лейла
Sally,Салли
Ina,Ина
Nell,Нелл
Alberta,Альберта
Katharine,Кэтрин
Rena,Рина
Mina,Мина
Mathilda,Матильда
Dollie,Долли
Hettie,Хетти
Fanny,Фанни
Lenora,Ленора
Adelaide,Аделаида
Lelia,Лелия
Nelle,Нелл
Sue,Сью
Johanna,Йоханна
Lilly,Лилли
Lucinda,Люсинда
Minerva,Минерва
Lettie,Летти
Roxie,Рокси
Helena,Хелена
Hilda,Хильда
Hulda,Хулда
Genevieve,Женевьева
Cordelia,Корделия
Jeanette,Жанетта
Adeline,Аделина
Leah,Лия
Lura,Люра
Mittie,Митти
Isabella,Изабелла
Olga,Ольга
Phoebe,Фиби
Teresa,Тереза
Lida,Лида
Lina,Лина
Marguerite,Маргерит
Claudia,Клавдия
Cecelia,Сеселия
Bess,Бесс
Emilie,Эмили
Rosetta,Розетта
Myrtie,Мирти
Cecilia,Сесилия
Olivia,Оливия
Ophelia,Офелия
Elnora,Элнора
Violet,Фиолетта
Adele,Адель
Lily,Лили
Loretta,Лорета
Madge,Мэдж
Polly,Полли
Eugenia,Евгения
Lucile,Люсиль
Mabelle,Мэйбл
Rosalie,Розали
Kittie,Китти
Meta,Мета
Angie,Энджи
Georgiana,Джорджиана
Lila,Лайла
Regina,Регина
Selma,Сельма
Wilhelmina,Вильгельмина
Bridget,Бриджет
Lilla,Лилла
Malinda,Малинда
Vina,Вина
Freda,Фреда
Gertie,Герти
Jeannette,Жаннетта
Louella,Луэлла
Mandy,Мэнди
Roberta,Роберта
Corinne,Коринна
Lyda,Лида
Naomi,Наоми
Norma,Норма
Margie,Марги
Nona,Нона
Zella,Зелла
Dovie,Дови
Elvira,Эльвира
Erma,Эрма
Irma,Ирма
Leota,Леота
Blanch,Бланш
Charity,Чарити
Lorena,Лорена
Lucretia,Лукреция
Orpha,Орфа
Alvina,Альвина
Annette,Аннет
Catharine,Катарина
Elma,Элма
Geneva,Женева
Leora,Леора
Lona,Лона
Miriam,Мириам
Zora,Зора
Octavia,Октавия
Sudie,Сьюди
Zula,Зула
Adella,Аделла
Frieda,Фрида
Joanna,Джоанна
Leonora,Леонора
Priscilla,Присцилла
Tennie,Тенни
Angeline,Ангелина
Docia,Докия
Ettie,Этти
Flossie,Флосси
Hanna,Ханна
Letha,Лета
Minta,Минта
Retta,Ретта
Rosella,Розелла
Adah,Ада
Berta,Берта
Elisabeth,Элизабет
Elise,Элиза
Leola,Леола
Margret,Маргарет
Adaline,Аделайн
Idella,Иделла
Juanita,Хуанита
Lenna,Ленна
Lucie,Люси
Missouri,Миссури
Nola,Нола
Zoe,Зоэ
Eda,Эда
Isabell,Изабель
Julie,Джули
Letitia,Летиция
Madeline,Мадлен
Malissa,Малисса
Mariah,Мария
Pattie,Патти
Almeda,Альмеда
Aurelia,Аурелия
Dolly,Долли
Jannie,Джэнни
Kathrine,Кэтрин
Lavinia,Лавиния
Marietta,Мариетта
Melvina,Мелвина
Ona,Она
Pinkie,Пинки
Susanna,Сюзанна
Chloe,Хлоя
Elsa,Элса
Matie,Мэйти
Pearle,Пёрл
Vesta,Веста
Vinnie,Винни
Antoinette,Антуанетта
Clementine,Клементина
Edythe,Эдит
Harriette,Харриетт
Libbie,Либби
Lilian,Лилиан
Lutie,Люти
Magdalena,Магдалена
Meda,Меда
Rita,Рита
Tena,Тина
Zelma,Зелма
Adelia,Аделия
Annetta,Аннета
Dona,Дона
Elizebeth,Элизабет
Georgianna,Джорджианна
Gracie,Грейси
Iona,Айона
Leta,Лета
Liza,Лиза
Mertie,Мерти
Molly,Молли
Neva,Нева
Oma,Ома
Alida,Алида
Cecile,Сесиль
Ernestine,Эрнестина
Evie,Эви
Helene,Хелене
Minna,Минна
Myrta,Мирта
Prudence,Пруденс
Queen,Королева
Rilla,Рилла
Savannah,Саванна
Tessie,Тесси
Agatha,Агата
America,Америка
Anita,Анита
Arminta,Арминта
Dorothea,Доротеа
Luvenia,Лювения
Marjorie,Маржори
Maybelle,Мэйбелл
Mellie,Мелли
Nan,Нэн
Velma,Велма
Constance,Констанс
Ila,Ила
Iola,Иола
Louvenia,Лувения
Lucia,Люсия
Ludie,Люди
Luna,Луна
Metta,Метта
Phebe,Фиби
Sophronia,Софрония
Adda,Адда
Avis,Эвис
Betsy,Бетси
Cordie,Корди
Emmaline,Эммалин
Ethelyn,Этелин
Hortense,Хортенс
Marcella,Марселла
Melinda,Мелинда
Mona,Мона
Odessa,Одесса
Veronica,Вероника
Aimee,Эми
Annabel,Аннабель
Ava,Ава
Bella,Белла
Carolina,Каролина
Cathrine,Кэтрин
Christena,Кристина
Dena,Дина
Eleanore,Элеанор
Elmira,Эльмира
Jenny,Дженни
Kizzie,Киззи
Loula,Лула
Magdalene,Магдалина
Mettie,Метти
Mintie,Минти
Peggy,Пегги
Reba,Риба
Serena,Серена
Vida,Вида
Zada,Зада
Abigail,Абигейл
Celestine,Целестина
Celina,Целина
Daisie,Дейзи
Dessa,Десса
Easter,Истер
Emelia,Эмилия
Emmie,Эмми
Imogene,Имоджен
India,Индия
Jeanne,Жанна
Lenore,Ленор
Liddie,Лидди
Lotta,Лотта
Mame,Мэйм
Nevada,Невада
Rachael,Рэйчел
Sina,Сина
Willa,Вилла
Aline,Алайн
Daisey,Дейзи
Dorcas,Доркас
Edmonia,Эдмония
Effa,Эффа
Eldora,Эльдора
Eloise,Элоиза
Emmer,Эммер
Era,Эра
Gena,Джина
Iris,Ирис
Izora,Изора
Lissie,Лисси
Mallie,Мэлли
Malvina,Малвина
Mathilde,Матильда
Mazie,Мэйзи
Queenie,Королева
Rosina,Розина
Salome,Саломея
Theodora,Феодора
Therese,Тереза
Vena,Вена
Wanda,Ванда
Wilda,Вильда
Altha,Альта
Anastasia,Анастасия
Besse,Бесс
Birtie,Берти
Clarissa,Кларисса
Delilah,Делайла
Diana,Диана
Emelie,Эмили
Erna,Эрна
Florida,Флорида
Frona,Фрона
Hilma,Хильма
Juliet,Джулиет
Leonie,Леони
Lugenia,Люгения
Mammie,Мэмми
Manda,Мэнда
Manerva,Манерва
Manie,Мэни
Nella,Нелла
Paulina,Полина
Philomena,Филомена
Selina,Селина
Sena,Сена
Theodosia,Феодосия
Una,Уна
Adela,Адела
Althea,Альтея
Amalia,Амалия
Amber,Амбер
Angelina,Ангелина
Annabelle,Аннабель
Anner,Аннер
Arie,Ари
Clarice,Кларис
Corda,Корда
Corrie,Корри
Dellar,Деллар
Donie,Дони
Elda,Элда
Elinor,Элинор
Emeline,Эмелин
Emilia,Эмилия
Etha,Эта
Indiana,Индиана
Ione,Айон
Josiephine,Жозефина
Kitty,Китти
Lavina,Лавина
Leda,Леда
Letta,Летта
Mahala,Махала
Marcia,Марсия
Margarette,Маргарет
Maudie,Мауди
Maye,Мэй
Norah,Нора
Patty,Пэтти
Paula,Паула
Permelia,Пермелия
Rosalia,Розалия
Roxanna,Роксана
Sula,Сула
Vada,Вада
Winnifred,Виннифред
Adline,Адлин
Almira,Альмира
Alvena,Альвена
Arizona,Аризона
Becky,Бекки
Bernadette,Бернадетт
Cordia,Кордия
Corine,Корин
Dicie,Диси
Dove,Дав
Drusilla,Друсилла
Elena,Элена
Elenora,Эленора
Elmina,Элмина
Ethyl,Этил
Evalyn,Эвелин
Evelina,Эвелина
Faye,Фэй
Huldah,Хульда
Idell,Иделл
Inga,Инга
Irena,Ирена
Kattie,Кэтти
Lavenia,Лавения
Lovina,Ловина
Lulie,Люли
Magnolia,Магнолия
Margeret,Маргерет
Margery,Маргери
Media,Медиа
Millicent,Миллисент
Nena,Нена
Orilla,Орилла
Pansy,Пэнси
Rosia,Розия
Rowena,Роуэна
Tabitha,Табита
Verdie,Верди
Zetta,Зетта
Zoa,Зоа
Zona,Зона
Albertina,Альбертина
Albina,Альбина
Alyce,Алис
Amie,Ами
Annis,Аннис
Carra,Карра
Clarinda,Кларинда
Delphia,Делфия
Dillie,Дилли
Doshie,Доши
Drucilla,Друсилла
Etna,Этна
Eugenie,Евгения
Eulalia,Эулалия
Eve,Ева
Felicia,Фелиция
Florance,Флоранс
Fronie,Фрони
Geraldine,Джеральдин
Gina,Джина
Glenna,Гленна
Grayce,Грейс
Hedwig,Хедвиг
Jossie,Джосси
Katheryn,Кэтрин
Katy,Кэти
Leanna,Лианна
Leitha,Лейта
Leone,Леона
Lidie,Лиди
Loma,Лома
Lular,Лулар
Magdalen,Магдален
Maymie,Мэйми
Minervia,Минервия
Muriel,Мюриэл
Neppie,Неппи
Onie,Они
Osa,Оса
Otelia,Отелия
Paralee,Парали
Patience,Терпение
Rella,Релла
Rillie,Рилли
Rosanna,Розанна
Tilda,Тильда
Tishie,Тиши
Tressa,Тресса
Viva,Вива
Yetta,Йетта
Zena,Зена
Zola,Зола
Abby,Эбби
Aileen,Эйлин
Alda,Альда
Alla,Алла
Alverta,Альверта
Ara,Ара
Ardelia,Ардэлла
Ardella,Ардэлла
Arrie,Эрри
Arvilla,Арвилла
Aurora,Аврора
Bama,Бама
Bena,Бена
Calla,Калла
Camilla,Камилла
Carlotta,Карлотта
Celestia,Целестия
Cherry,Черри
Cinda,Синда
Classie,Класси
Claudine,Клодин
Clemie,Клеми
Clyda,Клайда
Creola,Креола
Debbie,Дебби
Dinah,Дайна
Doshia,Дошиа
Ednah,Эдна
Edyth,Эдит
Eleanora,Элеанора
Electa,Электа
Eola,Эола
Eudora,Эудора
Euphemia,Евфемия
Evalena,Эвалена
Evaline,Эвалин
Faith,Вера
Fidelia,Фиделия
Golda,Голда
Helma,Хельма
Hermine,Гермина
Hessie,Хесси
Ivah,Айва
Janette,Жанетт
Jennette,Женнетт
Joella,Джоэлла
Kathryne,Кэтрин
Lanie,Лэйни
Lauretta,Лоретта
Leana,Лиана
Leatha,Лита
Liller,Лиллер
Lillis,Лиллис
Louetta,Луэта
Madie,Мэди
Mai,Май
Martina,Мартина
Maryann,Мэрианн
Melva,Мэлва
Mena,Мена
Mercedes,Мерседес
Mima,Мима
Minda,Минда
Monica,Моника
Nealie,Нили
Netta,Нетта
Nolia,Нолия
Nonie,Нони
Odelia,Оделия
Ottilie,Оттили
Phyllis,Филлис
Sabina,Сабина
Sada,Сада
Suzanne,Сюзанна
Sybilla,Сибилла
Thea,Тея
Tressie,Тресси
Vallie,Валли
Venie,Вени
Viney,Вайни
Wilhelmine,Вильгельмина
Winona,Вайнона
Zelda,Зельда
Zilpha,Зильфа
Adelle,Адель
Adina,Адина
Adrienne,Адриенна
Albertine,Альбертина
Alys,Алис
Ana,Ана
Araminta,Араминта
Birtha,Бирта
Bulah,Була
Caddie,Кэдди
Celie,Сели
Charlotta,Шарлотта
Concepcion,Консепсьон
Cordella,Корделла
Corrine,Коррин
Delila,Делила
Delphine,Делфин
Dosha,Доша
Elaine,Элейн
Elisa,Элиса
Ellar,Эллар
Elmire,Элмайр
Elvina,Элвина
Ena,Эна
Estie,Эсти
Etter,Эттер
Fronnie,Фрони
Georgina,Георгина
Gracia,Грейсия
Gwendolyn,Гвендолин
Hassie,Хэсси
Honora,Оннора
Icy,Айси
Isa,Иса
Isadora,Изадора
Johannah,Йоханна
Juana,Хуана
Junie,Джуни
Lavonia,Лавония
Lella,Лелла
Lemma,Лемма
Letty,Летти
Linna,Линна
Littie,Литти
Lollie,Лолли
Lorene,Лорен
Lovisa,Ловиса
Lucina,Люцина
Madora,Мадора
Mahalia,Махалия
Manervia,Манервия
Manuela,Мануэла
Margarett,Маргаретт
Margaretta,Маргаретта
Margarita,Маргарита
Marilla,Марилла
Mignon,Миньон
Mozella,Мозелла
Natalie,Натали
Nelia,Нелия
Nolie,Ноли
Omie,Оми
Ottilia,Оттилия
Parthenia,Партения
Penelope,Пенелопа
Pinkey,Пинки
Pollie,Полли
Rennie,Ренни
Reta,Рита
Roena,Роэна
Rosalee,Розали
Roseanna,Роузанна
Ruthie,Рути
Sabra,Сабра
Sannie,Санни
Selena,Селена
Sibyl,Сибил
Tella,Телла
Tempie,Темпи
Tennessee,Теннесси
Teressa,Тереза
Texas,Тексас
Theda,Теда
Thursa,Турса
Ula,Ула
Vannie,Вэнни
Verona,Верона
Vertie,Верти
Wilma,Вильма
Adell,Аделл
Aggie,Эгги
Alcie,Алси
Alfreda,Альфреда
Alicia,Алисия
Allene,Аллин
Almyra,Альмира
Anastacia,Анастасия
Aria,Ария
Arminda,Арминда
Aura,Аура
Avie,Эйви
Berdie,Берди
Buena,Буэна
Calista,Калиста
Cammie,Кэмми
Cara,Кара
Celesta,Целеста
Celeste,Целесте
Chaney,Чейни
Chanie,Чейни
Charlottie,Шарлотти
Chrissie,Крисси
Christene,Кристина
Christiana,Кристиана
Cleora,Клеора
Clora,Клора
Coralie,Коралли
Dayse,Дейзи
Delfina,Делфина
Deliah,Делия
Delina,Делина
Delle,Делл
Dicy,Диси
Donia,Дония
Dulcie,Дульси
Edwina,Эдвина
Ela,Эла
Eleonora,Элеонора
Elta,Элта
Elzada,Элзада
Emaline,Эмалин
Eulah,Юла
Eulalie,Элали
Euna,Эуна
Zadie,Зейди
Eveline,Эвелин
Lelah,Лелах
Nanie,Нэни
Petra,Петра
Glennie,Гленни
Juliette,Жюльетт
Mercy,Мерси
Miranda,Миранда
Nana,Нана
Zilpah,Зилпа
Almedia,Алмедиа
Byrdie,Берди
Claribel,Кларибель
Coral,Корал
Exie,Экси
Malissie,Малисси
Myrtice,Миртис
Narcissus,Нарцисс
Rosamond,Розамонд
Theresia,Терезия
Valeria,Валерия
Vessie,Весси
Victorine,Викторина
Arabella,Арабелла
Dottie,Дотти
Flo,Фло
Fredericka,Фредерика
Gusta,Густа
Icie,Айси
Lillia,Лиллия
Lota,Лота
Nathalie,Натали
Nita,Нита
Ota,Ота
Ramona,Рамона
Texie,Текси
Zillah,Зилла
Aida,Айда
Arra,Арра
Belva,Белва
Biddie,Бидди
Bula,Була
Carry,Кэрри
Crete,Крите
Dossie,Досси
Evangeline,Эванжелин
Flavia,Флавия
Fleta,Флита
Fronia,Фрония
Gillie,Гилли
Jinnie,Джини
Katharina,Катарина
Mirtie,Мирти
Mora,Мора
Ninnie,Нинни
Rettie,Ретти
Rozella,Розелла
Sofia,София
Sybil,Сибил
Sylvania,Сильвания
